,sandwiches,pizza,asian,salads,burgers,italian,coffee,fastfood,mexican,chinese,seafood,tea,dessert,japanese,bakery,pasta,sushi,smoothies,juice,chicken,latinamerican,donut,wings,mediterranean,wraps,indian,icecream,soup,thai,bagels,desserts,caribbean,noodles,greek,middleeastern,asianfusion,subs,spanish,southern,french,friedchicken,korean,frozenyogurt,steak,grill,bbq,tacos,fish,vietnamese,calzones,Zip,City,postalCode
12,-0.23570133021406667,0.07124543383806012,0.20690745169181704,0.19341340594392115,0.14671896851834193,0.2231347787733877,-0.45224183394850637,-0.017860737692084017,-0.8302984275690415,0.06243093922651925,-0.21555894004832588,-0.6225773663320805,1.003942707765486,0.6730234330348638,-0.5394619880587466,-0.23393137539982556,-0.23433435731702712,0.763210644143345,0.6568359553105652,-0.5377067216959405,-1.0,-0.29480116921495575,0.39820402184469866,2.0,-0.5956860036832413,-0.5939943133220833,1.1894259728344336,-0.5379268613522757,0.38095862119576035,-0.16707846252341552,0.46726853502049537,-1.0,-1.0,2.0,-1.0,-1.0,-0.07054253720285346,-1.0,-1.0,1.4690931072779159,-1.0,-1.0,0.3901913913470216,-1.0,0.5916133261239273,2.0,-1.0,1.6512393201098936,-1.0,-1.0,11050,Port Washington,11050
13,-0.15704635539520279,-0.10493280209566895,-0.08794186368990085,-0.2687615894520997,-0.0725318349410891,-0.48371253714756046,-0.21127645250506835,0.24368842266073504,-0.31372546233573767,0.32366283006093427,0.1535585526168154,-0.16747261984422362,-0.3724205602627158,-0.6192451747817938,0.49557926491281107,-0.2176798631650216,-0.5621311806457564,0.00834479175338229,-0.01864907138059617,0.7562136659201613,0.7718773960103485,0.8148007825416068,0.19940724148763264,-0.253881344006797,0.2882204919882645,2.0,-0.5170514678744357,0.13250153141825458,-0.15384729033028904,0.6841707323451724,0.19871633869875732,1.8622303474575144,-0.4823453820942679,-0.35838492374685216,0.9782143201298531,-0.5478606053273128,0.3668121930909969,1.4241851450422935,0.25966801693767727,-1.0,0.39714614515698515,-1.0,-0.31855208711222505,-0.3412040952968603,-0.2848336419966736,-0.5518367055317209,-0.6811993008071938,0.2995919212996364,-0.3192023236703241,0.043093515779971246,11418,Richmond Hill,11418
14,-0.16158751981058217,0.6024415167329661,0.24119459520578906,-0.5537028378598146,-0.05656303044627317,1.236236312706901,-1.0,0.3467212611949455,-1.0,1.9136363636363636,-1.0,-1.0,-1.0,-1.0,-0.052757043620830966,0.050442583732057455,-1.0,-1.0,-1.0,-1.0,0.3217489464178206,0.4504657769556025,1.8758514540214826,2.0,-1.0,-1.0,2.0,0.9008008658008659,-1.0,-1.0,-1.0,1.1836333797493537,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,11746,Huntington Station,11746
15,0.19350482474023017,-0.10137593375367004,-0.07194338763697858,0.0011057911536707708,0.546496679503756,0.446976437633877,-0.3195984349144682,0.6266280331295812,0.08409357447071167,0.6339215686274509,-0.3040008242585636,-0.5981559018006269,0.26436123784070764,-0.1517724331111755,-0.8365541565463395,-0.2749886480908153,-0.45652752421326237,-0.374233085117754,-0.6079904471748859,-0.5077936272174425,-0.7719335151279055,0.2513822389420884,0.24056337232299246,-0.1896931949250288,-0.4260326797385621,-1.0,2.0,-0.3440373482726424,-0.3465267701008297,-0.4087890263401498,0.3886306135357368,-1.0,-0.14333235781874934,-0.3806108054732684,-0.363437352759958,2.0,0.9791976560739238,-1.0,-1.0,-1.0,-1.0,-0.10550547491723958,2.0,0.9079246102873281,0.31802227725425875,-0.13472263277170174,-0.07672817116122589,-0.059069966784527944,-1.0,-1.0,11756,Levittown,11756
16,0.06413891716349189,1.711824105240404,-1.0,1.2658163616347875,-0.20170717960838497,2.0,-1.0,1.2790667497145232,0.18138402346167304,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0457764524996505,0.9223545378923866,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11792,Wading River,11792
17,0.296458915053285,0.12631672102636585,0.45400857798335253,-0.05892611178107875,-0.40319322692767445,0.33602616765556054,-0.20811319444632312,-0.43205365342577384,-0.11679277479223174,0.43354632587859415,-0.3195663010323338,-0.4543650423810429,0.2875883212834682,1.349563260359779,-0.8668412457486152,-0.261669749453506,0.9186488362439139,0.18955691487200116,0.1177908175604292,-0.5990011978928046,-0.2567801451452511,0.22339605468459756,-0.7978634760751674,0.3203082127419658,-0.5323908413205538,1.1130455706016815,0.012871823854396156,-0.4655895329377758,-1.0,0.4449725075073015,-0.43434375966196026,-0.38607112646024566,-0.6510379412839954,0.5138426000413726,-0.48139464841466223,2.0,-0.46251820841442964,-0.39792812187195775,-0.4055815779498565,-1.0,-1.0,-1.0,-0.1960874062817543,-1.0,0.38058472218097844,-0.29506156982998066,-1.0,-0.23342760872221927,-1.0,-1.0,11743,Huntington,11743
19,-0.17532260481027237,0.11897451987564805,-0.27928814403522784,-0.16894289534578447,-0.10743778853142297,-0.5802286785021176,-0.06946543634084988,0.33477083362120197,-0.07747213458009977,-0.05928327645051193,0.4295300476491345,-0.04407735001719092,-0.3122608454578062,-0.29131021032633364,0.25178318331062877,-0.0850752649541944,-0.022491485530338806,-0.3101613873482407,-0.3858962977927394,0.7705990338321352,-0.40453631082883174,0.6554121358838002,0.6411002154006549,-0.012697851836980429,-0.30066097838452793,-0.19741128421894413,-0.4589950838456894,-0.2578443035917438,-0.48814980798000146,0.38924489885599617,-0.09359861829791924,2.0,-0.25443601107092517,-0.5687529157561323,0.44041308914726246,-0.7720785372247239,-0.3109960378172688,-0.485464852275557,1.0319777867761903,-1.0,1.034630499291564,-0.8443030007535127,-0.1412128265057648,0.32838437030244005,0.6714655987997694,0.05427993208362615,-0.35717592804399345,1.4566944553236727,-0.08483443190996011,0.5774564397341477,11210,Brooklyn,11210
20,-0.09139361270918128,-0.2272470837247214,0.24031062342792636,0.17943657725992182,-0.2526862336604569,0.2380081699531121,0.38081697695152184,-0.6084629331621247,-0.1614295568211437,-0.000735934161589057,-0.1517148607446702,0.38119002969769494,0.27885631850322024,0.31452786816101447,0.1411590383727522,0.031407104451006446,0.2063308495543239,0.2500977895230118,0.3012440228797559,-0.36765288738428253,-0.38331631019391704,-0.31316078109501266,-0.4793109023659767,0.19362674499252894,-0.18926037297881887,0.279350039053149,0.2041929478189799,0.27071027255564734,0.2922605060679169,-0.10525363051003915,-0.06830325120549748,-0.8175265609705374,0.5039306514038969,-0.21259100972762976,0.3230448626857407,0.14939186666229376,-0.5606829607274387,-0.4482397388145242,-0.705542508345818,1.1572570228262617,-0.7278382453118004,1.2201330046071681,0.17479258274866216,-0.05675722064017702,-0.39208775916555966,0.08253819544823889,-0.10573338727652166,-0.3544461986248206,1.3340813689595623,-0.17706879964015435,10012,New York,10012
21,-0.11321756903042343,0.7626856684062627,0.1902737912999107,-0.09367345534608498,-0.04204861553006196,0.5137599655246714,-0.5233450574263444,0.025580037371535445,-0.7637231953076654,0.10942307692307694,-0.18086250855046326,-0.3431394548664093,0.0850407738200304,1.3293633952254644,-0.8396973458435253,0.4221376518218624,1.4874317161008377,-0.3862670642501048,-0.42329363863228403,-0.6781727562575586,-0.7763194090677534,0.22731719588550983,-0.5133174462425183,0.05963197586727011,0.40732371794871797,-1.0,0.8290127742293809,-0.3566520146520146,-1.0,1.0294453615054473,1.0428892679900745,-1.0,-0.15980673555300412,0.21495572772551202,0.24864211574008258,0.9263746709564201,0.941136162687887,-0.275198085176626,-1.0,-1.0,-0.11812612974492857,-1.0,0.9355741679523918,-1.0,-0.0766602178575934,-0.15136258214147663,-1.0,-0.07716477511559465,-1.0,2.0,10308,Staten Island,10308
22,0.6275065791912229,0.5553108838878789,-0.46458272363671843,0.44390258339471755,0.22091843118717586,1.1704646564508157,0.458003353754711,-0.5642960625545764,-1.0,-0.5286764705882353,0.565998145418232,-0.49769487725078365,-0.4073306697621683,0.27234135033323675,0.8387657388536811,-0.32030185758513935,-1.0,-0.2177913563971925,-0.26498208845291105,-1.0,-1.0,-0.061463320793433716,-1.0,2.0,1.1523774509803921,-1.0,-1.0,1.4598599439775912,-1.0,0.10852057561221908,-1.0,-1.0,-1.0,1.3227094794752432,1.3871099271501577,1.4551834041601432,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-0.29391663718521854,-1.0,-1.0,-1.0,-1.0,-1.0,11030,Manhasset,11030
